2020-07-09 18:03:57 startup archives install
2020-07-09 18:03:57 install base-passwd:armhf <none> 3.5.46
2020-07-09 18:03:57 status half-installed base-passwd:armhf 3.5.46
2020-07-09 18:03:57 status unpacked base-passwd:armhf 3.5.46
2020-07-09 18:03:58 configure base-passwd:armhf 3.5.46 3.5.46
2020-07-09 18:03:58 status half-configured base-passwd:armhf 3.5.46
2020-07-09 18:03:58 status installed base-passwd:armhf 3.5.46
2020-07-09 18:03:58 startup archives install
2020-07-09 18:03:58 install base-files:armhf <none> 10.3+deb10u4
2020-07-09 18:03:58 status half-installed base-files:armhf 10.3+deb10u4
2020-07-09 18:03:59 status unpacked base-files:armhf 10.3+deb10u4
2020-07-09 18:03:59 configure base-files:armhf 10.3+deb10u4 10.3+deb10u4
2020-07-09 18:03:59 status half-configured base-files:armhf 10.3+deb10u4
2020-07-09 18:06:05 startup archives install
2020-07-09 18:06:05 install base-passwd:armhf <none> 3.5.46
2020-07-09 18:06:05 status half-installed base-passwd:armhf 3.5.46
2020-07-09 18:06:05 status unpacked base-passwd:armhf 3.5.46
2020-07-09 18:06:05 configure base-passwd:armhf 3.5.46 3.5.46
2020-07-09 18:06:05 status half-configured base-passwd:armhf 3.5.46
2020-07-09 18:06:06 status installed base-passwd:armhf 3.5.46
2020-07-09 18:06:06 startup archives install
2020-07-09 18:06:06 install base-files:armhf <none> 10.3+deb10u4
2020-07-09 18:06:06 status half-installed base-files:armhf 10.3+deb10u4
2020-07-09 18:06:06 status unpacked base-files:armhf 10.3+deb10u4
2020-07-09 18:06:07 configure base-files:armhf 10.3+deb10u4 10.3+deb10u4
2020-07-09 18:06:07 status half-configured base-files:armhf 10.3+deb10u4
2020-07-09 18:06:07 status installed base-files:armhf 10.3+deb10u4
2020-07-09 18:06:07 startup archives install
2020-07-09 18:06:07 upgrade dpkg 1.19.7 1.19.7
2020-07-09 18:06:07 status half-configured dpkg 1.19.7
2020-07-09 18:06:07 status unpacked dpkg 1.19.7
2020-07-09 18:06:07 status half-installed dpkg 1.19.7
2020-07-09 18:06:08 status unpacked dpkg:armhf 1.19.7
2020-07-09 18:06:09 configure dpkg:armhf 1.19.7 1.19.7
2020-07-09 18:06:09 status half-configured dpkg:armhf 1.19.7
2020-07-09 18:06:09 status installed dpkg:armhf 1.19.7
2020-07-09 18:06:09 startup archives install
2020-07-09 18:06:10 install libc6:armhf <none> 2.28-10
2020-07-09 18:06:10 status half-installed libc6:armhf 2.28-10
2020-07-09 18:06:12 status unpacked libc6:armhf 2.28-10
2020-07-09 18:06:13 configure libc6:armhf 2.28-10 2.28-10
2020-07-09 18:06:13 status half-configured libc6:armhf 2.28-10
2020-07-09 18:06:13 status installed libc6:armhf 2.28-10
2020-07-09 18:06:13 startup archives install
2020-07-09 18:06:13 install perl-base:armhf <none> 5.28.1-6
2020-07-09 18:06:13 status half-installed perl-base:armhf 5.28.1-6
2020-07-09 18:06:16 status unpacked perl-base:armhf 5.28.1-6
2020-07-09 18:06:16 configure perl-base:armhf 5.28.1-6 5.28.1-6
2020-07-09 18:06:16 status half-configured perl-base:armhf 5.28.1-6
2020-07-09 18:06:16 status installed perl-base:armhf 5.28.1-6
2020-07-09 18:06:16 startup archives install
